Territory,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGBT people allowed to serve openly in military?,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Benin,Yes,No,No,No,Unknown,No,Unknown
Burkina Faso,Yes,No,No,No,Unknown,No,Unknown
Cape Verde,Yes,No,No,No,Unknown,Yes,Unknown
Gambia,No,No,No,No,No,No,No
Ghana,No,No,No,No,No,No,No
Guinea,No,No,No,No,No,No,No
Guinea-Bissau,Yes,No,No,No,Unknown,No,Unknown
Ivory Coast,Yes,No,No,No,Unknown,No,Unknown
Liberia,No,No,No,No,No,No,No
Mali,No,No,No,No,Unknown,No,No
Mauritania,No,No,No,No,No,No,No
Niger,Yes,No,No,No,Unknown,No,No
Nigeria,No,No,No,No,No,No,No
"Saint Helena, Ascension and Tristan da Cunha",Yes,Yes,Yes,Yes,Yes,Yes,Unknown
Senegal,No,No,No,No,No,No,No
Sierra Leone,No,No,No,No,No,No,No
Togo,No,No,No,No,No,No,No
Cameroon,No,No,No,No,No,No,No
Central African Republic,Yes,No,No,No,Unknown,No,No
Chad,No,No,No,No,No,Yes,No
Democratic Republic of the Congo,Yes,No,No,No,Unknown,No,No
Republic of the Congo,Yes,No,No,No,Unknown,No,No
Equatorial Guinea,Yes,No,No,No,Unknown,No,No
Gabon,Yes,No,No,No,Unknown,No,Unknown
São Tomé and Príncipe,Yes,No,No,No,Unknown,Yes,Unknown
Burundi,No,No,No,No,No,No,No
Djibouti,Yes,No,No,No,Unknown,No,No
Eritrea,No,No,No,No,No,No,No
Ethiopia,No,No,No,No,No,No,No
Kenya,No,No,No,No,No,Yes,Yes
Rwanda,Yes,No,No,No,Unknown,No,No
Somalia,No,No,No,No,No,No,No
Somaliland,No,No,No,No,No,No,No
South Sudan,No,No,No,No,No,No,No
Tanzania,No,No,No,No,No,No,No
Uganda,No,No,No,No,No,No,No
Comoros,No,No,No,No,No,No,No
